id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt;
929411,9600,9600,9575, 36 months,13.99,328.06,C,BUSINESS APPLICATION ANALYST,10+ years,MORTGAGE,65000,Source Verified,42644,debt_consolidation,MO,14.76,0,37377,1,13,0,40284,77.3,26,0,42680.84704;
929412,12800,12800,12800, 60 months,17.99,324.97,D,Human Resouces Technician ,3 years,RENT,60500,Source Verified,42644,debt_consolidation,PA,16.91,0,33635,1,8,1,7341,59.7,19,0,25624.3951;
929413,17400,17400,17400, 60 months,18.99,451.27,D,Driver,10+ years,MORTGAGE,80000,Verified,42644,debt_consolidation,IN,21.35,0,35309,1,16,0,27064,59.2,43,0,24104.91091;
929414,35000,35000,35000, 60 months,17.99,888.58,D,Senior Permitting Services Specialist,< 1 year,OWN,87435,Verified,42644,debt_consolidation,KS,22.03,5,37530,0,16,0,11782,61.4,54,0,17148.43543;
929415,35000,35000,35000, 36 months,13.99,1196.05,C,Regional Sales Manager,3 years,MORTGAGE,220000,Source Verified,42644,debt_consolidation,OH,31.88,0,34366,1,15,0,25015,44.7,32,0,13566.64;
929416,16925,16925,16925, 60 months,14.49,398.13,C,Operations Manger,2 years,RENT,86000,Not Verified,42644,other,NE,27.82,0,38838,1,18,0,24280,92.4,32,0,4203.106468;
929417,28000,28000,28000, 36 months,15.59,978.74,C,Payroll Director,10+ years,RENT,100000,Verified,42644,vacation,MD,13.8,1,32387,1,9,0,7462,84.1,25,0,1010.125356;
929418,8000,8000,8000, 36 months,12.79,268.75,C,Payroll Specialist,1 year,MORTGAGE,63000,Verified,42644,debt_consolidation,TX,15.31,0,37530,0,13,1,12146,65.7,29,0,14367.45518;
929419,35000,35000,35000, 36 months,13.99,1196.05,C,Locomotive engineer,10+ years,RENT,127000,Verified,42644,debt_consolidation,TX,25.12,0,34973,0,8,0,21431,67.8,15,0,32710.41001;
929420,30000,30000,30000, 36 months,15.59,1048.65,C,Aircraft  Engine  Mechanic ,10+ years,RENT,85000,Verified,42644,debt_consolidation,CA,9.22,0,36161,1,14,0,5608,11.7,14,0,15413.85221;
929421,35000,35000,35000, 60 months,21.49,956.55,D,STAFF CHAPLAIN,< 1 year,RENT,72000,Verified,42644,credit_card,WI,24.65,0,38596,0,15,0,13225,59,30,0,14271.10246;
929422,28000,28000,28000, 60 months,9.49,587.92,B,Sr Support Manager,1 year,MORTGAGE,130000,Source Verified,42644,debt_consolidation,CO,16.59,0,35339,2,15,0,10937,43.7,34,0,9660.907885;
929423,20000,20000,20000, 36 months,10.49,649.96,B,Social Worker,5 years,OWN,110000,Source Verified,42644,credit_card,IL,11.46,0,34608,1,13,2,11045,48.7,34,0,12587.21232;
929424,30000,30000,29750, 36 months,15.59,1048.65,C,Engineer,2 years,RENT,83000,Verified,42644,other,NY,2.95,0,34639,1,7,0,2672,49.5,8,0,3876.463108;
929425,15000,15000,15000, 60 months,14.49,352.85,C,Manager,10+ years,MORTGAGE,110000,Not Verified,42644,credit_card,MD,24.97,0,32843,1,16,2,8835,55.2,47,0,9438.17348;
929426,12600,12600,12600, 60 months,17.99,319.89,D,Systems engineer,1 year,OWN,87000,Source Verified,42644,debt_consolidation,TX,18.25,0,39508,0,20,1,14370,42.5,35,0,13106.48;
929427,25000,25000,25000, 60 months,10.49,537.23,B,Senior Implementation Consultant,8 years,MORTGAGE,110000,Not Verified,42644,credit_card,MT,14.78,0,36892,0,7,0,103575,82.2,18,0,33445.5236;
929428,10000,10000,10000, 36 months,16.99,356.48,D,Patient interviewer,3 years,MORTGAGE,45000,Not Verified,42644,credit_card,NV,6.02,0,38808,1,5,0,3053,44.2,11,0,17260.44633;
929429,8000,8000,8000, 36 months,13.49,271.45,C,epidemiologist and professor,10+ years,MORTGAGE,73000,Verified,42644,debt_consolidation,CA,14.55,1,37622,0,9,0,5315,38.5,15,0,5778.936585;
929430,18700,18700,18700, 36 months,18.99,685.38,D,Production manager,10+ years,RENT,65520,Verified,42644,car,TX,17.33,0,36861,2,11,0,49357,80.8,39,0,34405.22918;
929431,24000,24000,24000, 60 months,14.49,564.56,C,Attorney,4 years,MORTGAGE,60000,Verified,42644,debt_consolidation,WA,17.42,0,35521,0,9,0,9482,56.1,20,0,20133.68001;
929432,16000,16000,16000, 60 months,17.99,406.21,D,Sales,3 years,MORTGAGE,55000,Source Verified,42644,credit_card,IL,32.92,0,38169,0,25,0,17181,36.3,32,0,3330.9899;
929433,35000,35000,35000, 36 months,12.79,1175.76,C,Administrator,10+ years,OWN,150000,Source Verified,42644,credit_card,TX,24.43,0,31107,0,12,2,76734,90.4,17,0,24766.40705;
929434,35000,35000,35000, 36 months,10.49,1137.43,B,Deputy Program Manager,1 year,MORTGAGE,200000,Verified,42644,debt_consolidation,AZ,19.57,0,38657,1,10,0,15331,42,13,0,5225.67;
929435,12000,12000,12000, 36 months,12.79,403.12,C,Maintenance Supervisor ,3 years,RENT,50000,Source Verified,42644,debt_consolidation,TX,10.65,0,34912,0,7,0,8747,47,22,0,8269.862337;
929436,14225,14225,14225, 60 months,8.99,295.22,B,Project Engineer,2 years,MORTGAGE,54915,Not Verified,42644,credit_card,CA,25.8,4,33055,0,21,0,11226,36.6,43,0,8935.148986;
929437,8000,8000,8000, 36 months,15.59,279.64,C,Salesperson,< 1 year,RENT,30000,Verified,42644,debt_consolidation,CA,23.13,0,39264,0,5,0,1502,21.5,17,0,4093.69;
929438,12000,12000,12000, 36 months,16.99,427.78,D,Assistant Director Athletic Development,2 years,RENT,38000,Not Verified,42644,home_improvement,NC,23.92,4,34943,0,7,0,8319,74.5,20,0,1202.461604;
929439,24000,24000,23950, 60 months,14.49,564.56,C,Dispatcher 3,10+ years,RENT,90000,Not Verified,42644,credit_card,NY,13.31,0,38200,1,8,0,18137,62.5,15,0,5963.091929;
929440,40000,40000,40000, 60 months,21.49,1093.19,D,Probation Officer,10+ years,RENT,93400,Verified,42644,debt_consolidation,WY,12.4,0,32568,0,8,0,2736,44.1,23,0,10870.07151;
929441,14000,14000,14000, 36 months,12.79,470.31,C,driver,10+ years,MORTGAGE,50000,Verified,42644,credit_card,NY,14.91,0,39295,0,12,0,7043,74.1,21,0,11299.62433;
929442,3000,3000,3000, 36 months,13.49,101.8,C,Marketing Manager,1 year,RENT,40000,Source Verified,42644,credit_card,CT,15.4,0,39203,0,17,0,11677,43.6,25,0,10144.18;
929443,25000,25000,24950, 60 months,12.79,566.15,C,Investment Officer,9 years,MORTGAGE,179000,Source Verified,42644,debt_consolidation,TX,32.87,0,37622,0,12,0,20277,63.4,23,0,11870.04038;
929444,10000,10000,10000, 60 months,12.79,226.46,C,Senior mechanic,10+ years,OWN,79000,Verified,42644,credit_card,CA,14.56,0,34790,0,8,0,24168,86.6,10,0,41674.14824;
929445,12000,12000,12000, 36 months,19.99,445.91,D,Operations Manager,9 years,MORTGAGE,81000,Source Verified,42644,credit_card,TN,9.23,1,34516,1,4,0,21094,78.7,5,0,22044.60074;
929446,12000,12000,12000, 60 months,19.99,317.86,D,Test Engineer,10+ years,RENT,55000,Source Verified,42644,home_improvement,FL,1.78,0,38718,0,4,0,2981,28.9,10,0,19088.97123;
929447,15000,15000,15000, 60 months,9.49,314.96,B,Clinical Dietitian,2 years,MORTGAGE,53000,Not Verified,42644,debt_consolidation,IL,26.01,0,34001,0,17,2,18485,77,27,0,18119.43535;
929448,29000,29000,29000, 60 months,10.99,630.39,B,,n/a,MORTGAGE,66081,Not Verified,42644,debt_consolidation,GA,25.98,0,38169,3,25,0,22548,52,46,0,40803.79279;
929449,17500,17500,17500, 60 months,10.99,380.41,B,Fiscal Agent,10+ years,OWN,65250,Not Verified,42644,debt_consolidation,CA,10.44,0,39600,0,10,0,6310,39,14,0,11654.97227;
929450,15650,15650,15650, 60 months,26.49,473.12,F,Manager,10+ years,MORTGAGE,58000,Verified,42644,debt_consolidation,PA,16.23,0,38108,0,11,0,8482,14.4,17,0,11948.51;
929451,27450,27450,27450, 36 months,21.49,1041.1,D,Sr UR RN,6 years,MORTGAGE,80000,Verified,42644,home_improvement,NY,5.16,0,34608,0,11,0,16604,45,25,0,28637.13002;
929452,21000,21000,21000, 60 months,8.99,435.83,B,EVP,< 1 year,MORTGAGE,108000,Source Verified,42644,credit_card,IL,18.27,2,35855,0,11,0,27125,83,27,0,38345.23734;
929453,15000,15000,15000, 60 months,10.49,322.34,B,Owner,10+ years,MORTGAGE,72000,Not Verified,42644,debt_consolidation,OH,25.44,0,38231,0,22,1,19358,54.1,37,0,13828.43297;
929454,10000,10000,10000, 60 months,19.99,264.89,D,Paraprofessional,10+ years,MORTGAGE,35000,Not Verified,42644,debt_consolidation,CT,34.35,0,35674,0,21,0,37581,87.6,31,0,4651.56805;
929455,10000,10000,10000, 60 months,11.49,219.88,B,Buyer,< 1 year,RENT,75000,Verified,42644,debt_consolidation,MI,26.72,2,34943,0,9,0,8178,66.5,26,0,7511.706246;
929456,24000,24000,24000, 60 months,9.49,503.93,B,Pilot,10+ years,MORTGAGE,180000,Not Verified,42644,major_purchase,WA,18.01,0,36251,0,12,0,12945,36.5,23,0,17857.28877;
929457,10000,10000,10000, 36 months,10.49,324.98,B,Crane Operator Assistant,10+ years,MORTGAGE,62000,Not Verified,42644,home_improvement,MN,6.88,0,34090,1,23,0,144682,54.8,45,0,25452.61554;
929458,14400,14400,14400, 60 months,9.49,302.36,B,Branch Manager,10+ years,OWN,68000,Not Verified,42644,debt_consolidation,CA,19.71,0,34851,1,5,1,2998,57.7,19,0,3472.810918;
929459,18000,18000,18000, 60 months,9.49,377.95,B,State Prosecutor ,10+ years,MORTGAGE,169000,Source Verified,42644,debt_consolidation,TX,25.6,0,32933,2,19,0,47153,64.8,39,0,6779.7706;
929460,20000,20000,20000, 60 months,10.99,434.75,B,Controller ,< 1 year,MORTGAGE,88000,Not Verified,42644,credit_card,GA,23.88,0,37043,1,13,3,26760,67.4,26,0,17705.07143;
929461,25000,25000,25000, 36 months,8.59,790.24,A,Counselor ,10+ years,MORTGAGE,90000,Not Verified,42644,home_improvement,AR,8.04,0,40210,0,7,0,5951,40.5,8,0,12420.11921;
929462,10000,10000,10000, 36 months,13.49,339.31,C,Driver,1 year,RENT,30000,Source Verified,42644,credit_card,CA,28.98,0,36739,1,20,0,19585,49.5,48,0,12694.2;
929463,20000,20000,19750, 36 months,14.49,688.33,C,Engineer,3 years,RENT,60000,Not Verified,42644,debt_consolidation,OH,15.99,0,38657,0,7,1,7433,71.5,9,0,17246.26566;
929464,16800,16800,16800, 60 months,10.99,365.19,B,dentist/owner,10+ years,MORTGAGE,150000,Not Verified,42644,debt_consolidation,PA,25.78,0,38108,0,8,0,8995,37.2,18,0,11800.51;
929465,21000,21000,21000, 60 months,10.49,451.27,B,Radiology Directir,2 years,RENT,123600,Not Verified,42644,credit_card,CA,16.89,0,31321,0,23,1,6204,10.8,33,0,8682.509652;
929466,18000,18000,18000, 60 months,9.49,377.95,B,Quantitative Analyst,< 1 year,RENT,130000,Not Verified,42644,debt_consolidation,AL,17.25,0,38930,0,15,0,8419,57.7,30,0,18187.03;
929467,14400,14400,14400, 60 months,8.99,298.86,B,Paralegal,10+ years,RENT,55000,Not Verified,42644,debt_consolidation,CA,10.78,0,41091,0,6,0,5705,47.1,6,0,10031.10089;
929468,15000,15000,15000, 36 months,15.59,524.33,C,Human Resources Specialist,10+ years,RENT,46000,Verified,42644,major_purchase,CA,10.56,0,36434,3,14,0,11664,34,17,0,2966.827375;
929469,10000,10000,10000, 60 months,18.99,259.36,D,Account Manager,3 years,MORTGAGE,110000,Source Verified,42644,debt_consolidation,NY,11.02,0,37377,0,15,1,4960,26.7,31,0,19801.06066;
929470,25000,25000,25000, 60 months,9.49,524.93,B,Senior Consultant,10+ years,MORTGAGE,120000,Not Verified,42644,debt_consolidation,OK,23.19,0,35582,0,5,0,15190,73,16,0,29436.41239;
929471,18000,18000,18000, 60 months,10.99,391.28,B,Public works,10+ years,MORTGAGE,45000,Not Verified,42644,credit_card,FL,24.44,0,32629,3,10,1,9958,61,40,0,2812.862503;
929472,36000,36000,36000, 60 months,10.99,782.55,B,System Analyst,2 years,MORTGAGE,106000,Verified,42644,credit_card,WI,26.82,0,35886,0,22,0,36205,88.7,34,0,34438.30065;
929473,12000,12000,12000, 60 months,9.49,251.97,B,Customer Success Manager,< 1 year,OWN,57000,Source Verified,42644,debt_consolidation,FL,32.75,0,38869,0,6,0,5549,49.5,10,0,6205.209114;
929474,14000,14000,14000, 36 months,14.49,481.83,C,finance manager,8 years,MORTGAGE,160000,Source Verified,42644,credit_card,WI,29.15,1,38718,0,12,0,14368,62.5,19,0,18690.65689;
929475,30000,30000,30000, 36 months,19.99,1114.76,D,Faculty Member,4 years,RENT,60000,Not Verified,42644,credit_card,NY,4.77,0,39661,0,5,0,3802,74.5,5,0,2418.4;
929476,22075,22075,22075, 60 months,15.59,532.03,C,Project Manager,9 years,OWN,60000,Not Verified,42644,debt_consolidation,CA,15.48,0,38687,0,6,0,2757,24.4,9,0,5789.561386;
929477,30000,30000,30000, 36 months,15.59,1048.65,C,RN,10+ years,RENT,180000,Source Verified,42644,credit_card,TX,8.15,0,38749,0,11,0,5218,27.2,25,0,11124.98412;
929478,24000,24000,23750, 36 months,13.99,820.15,C,Air Traffic Controller,10+ years,MORTGAGE,136799,Verified,42644,debt_consolidation,NV,25.34,0,33239,0,4,0,33266,71.5,11,0,37055.47159;
929479,20000,20000,20000, 60 months,13.49,460.1,C,Case Worker,3 years,MORTGAGE,49188,Not Verified,42644,debt_consolidation,NJ,23.6,1,37803,0,10,0,10031,82.9,23,0,15208.39718;
929480,40000,40000,40000, 60 months,19.99,1059.54,D,Air traffic Controller,10+ years,RENT,160000,Verified,42644,debt_consolidation,CA,12.68,2,36008,1,7,0,8363,88,16,0,10778.77;
929481,30000,30000,30000, 60 months,9.49,629.91,B,MRI Supervisor Evenings ,1 year,MORTGAGE,125000,Source Verified,42644,debt_consolidation,WA,23.27,0,36100,0,19,0,14233,75.3,35,0,33275.2088;
929482,28000,28000,28000, 36 months,16.99,998.14,D,Business Development Manager,10+ years,OWN,119900,Not Verified,42644,other,WA,18.06,0,38412,1,6,0,31802,86.9,16,0,5778.445937;
929483,20000,20000,20000, 36 months,16.99,712.96,D,Dealer,6 years,MORTGAGE,81000,Not Verified,42644,debt_consolidation,PA,12.46,0,38261,0,7,0,8013,70.3,20,0,15252.00087;
929484,20000,20000,20000, 60 months,21.49,546.6,D,Maintenance Supervisor,10+ years,MORTGAGE,75000,Source Verified,42644,credit_card,NM,13.66,3,37834,1,7,0,2232,58.7,17,0,5993.936542;
929485,40000,40000,39900, 60 months,15.59,964.03,C,Sales,< 1 year,MORTGAGE,168000,Verified,42644,debt_consolidation,TX,38.42,0,38169,1,14,0,34041,47.4,32,0,29143.46001;
929486,19200,19200,19200, 60 months,12.79,434.8,C,Director of Development and Construction,3 years,MORTGAGE,136600,Not Verified,42644,debt_consolidation,FL,24.32,0,37681,0,4,0,11197,69.5,7,0,2850.095298;
929487,22000,22000,21750, 36 months,15.59,769.01,C,Investor Relations ,2 years,RENT,80000,Verified,42644,credit_card,NH,15.81,0,34759,1,17,0,13301,64.3,25,0,15382.64283;
929488,10000,10000,10000, 36 months,15.59,349.55,C,SAFETY DIRECTOR,9 years,RENT,62000,Not Verified,42644,credit_card,NY,2.27,0,41091,0,5,0,3095,25,5,0,11971.23617;
929489,35000,35000,35000, 60 months,10.49,752.12,B,Owner,6 years,RENT,114000,Source Verified,42644,other,TX,24.32,0,37196,0,6,0,4685,86.8,8,0,3902.233391;
929490,22400,22400,22400, 60 months,10.49,481.36,B,Supervisor,10+ years,MORTGAGE,50000,Not Verified,42644,home_improvement,FL,27.47,1,36982,0,13,0,16053,68.3,20,0,14602.30757;
929491,16000,16000,16000, 60 months,8.99,332.06,B,,n/a,OWN,46000,Not Verified,42644,credit_card,CA,18.98,0,38565,0,13,0,3545,17.9,17,0,5629.218187;
929492,15000,15000,15000, 60 months,8.99,311.31,B,Technical Recruiter,< 1 year,RENT,115000,Source Verified,42644,credit_card,TX,9.06,0,36923,0,10,0,14098,83.4,18,0,13476.16165;
929493,20000,20000,20000, 36 months,13.99,683.46,C,Claims ,10+ years,MORTGAGE,80000,Verified,42644,credit_card,TX,26.74,0,30682,0,18,0,35651,58,34,0,33255.56594;
929494,13000,13000,13000, 36 months,13.99,444.25,C,Sales Manager,10+ years,MORTGAGE,122000,Source Verified,42644,debt_consolidation,WI,10.89,0,39022,1,6,0,5033,43.4,19,0,16736.62395;
929495,19800,19800,19800, 36 months,12.79,665.14,C,Delivery manager,3 years,OWN,45000,Source Verified,42644,credit_card,NE,12.48,0,35765,0,13,0,18810,55.7,36,0,20298.67206;
929496,8000,8000,8000, 36 months,13.99,273.39,C,Attorney,5 years,RENT,60000,Not Verified,42644,debt_consolidation,HI,15.4,1,36617,0,7,0,4077,41.6,20,0,11034.27103;
929497,6400,6400,6400, 36 months,19.99,237.82,D,,n/a,MORTGAGE,18876,Verified,42644,debt_consolidation,KY,24.25,0,38231,0,11,1,21056,38.2,23,0,15591.02465;
929498,35000,35000,35000, 36 months,13.99,1196.05,C,Program Manager,10+ years,MORTGAGE,117000,Source Verified,42644,medical,FL,15.93,5,34669,1,6,1,2608,75,36,0,8548.71858;
929499,8000,8000,8000, 36 months,14.49,275.33,C,Business Development,2 years,MORTGAGE,130000,Not Verified,42644,credit_card,KS,30.78,0,34455,1,8,0,7482,47.7,22,0,18138.27;
929500,28475,28475,28475, 60 months,10.99,618.98,B,Operator,9 years,MORTGAGE,130000,Not Verified,42644,debt_consolidation,OH,26.04,0,36892,0,17,0,9953,37.6,34,0,6444.870001;
929501,8000,8000,8000, 36 months,15.59,279.64,C,Resident Physician,< 1 year,RENT,50000,Verified,42644,credit_card,TX,28.67,0,35370,1,11,0,28735,82.3,21,0,11260.51218;
929502,20400,20400,20400, 60 months,15.59,491.66,C,Operating Engineer,10+ years,MORTGAGE,90000,Not Verified,42644,debt_consolidation,NY,16.53,1,38930,1,15,0,17735,56.1,38,0,42974.02;
929503,20000,20000,20000, 36 months,13.99,683.46,C,Dental Hygienist,2 years,MORTGAGE,280000,Source Verified,42644,debt_consolidation,MI,22.14,0,37681,0,10,1,1392,16.6,28,0,5453.714784;
929504,7200,7200,7200, 36 months,12.79,241.87,C,General Manager ,2 years,MORTGAGE,54900,Not Verified,42644,debt_consolidation,PA,22.23,0,39995,0,12,0,3319,46.7,13,0,4707.557226;
929505,40000,40000,40000, 60 months,10.49,859.56,B,Director IT/Production,< 1 year,MORTGAGE,105000,Verified,42644,debt_consolidation,TX,20.04,0,35735,1,15,0,6418,28.1,30,0,11040.73;
929506,16000,16000,16000, 36 months,12.79,537.49,C,checker,10+ years,OWN,48000,Not Verified,42644,credit_card,IN,12.62,0,33390,0,15,1,18335,72.2,27,0,11403.08871;
929507,9600,9600,9600, 36 months,14.49,330.4,C,Assembly ,2 years,OWN,24000,Not Verified,42644,credit_card,NC,25.73,0,35796,2,21,0,9395,34.9,23,0,8846.341993;
929508,11200,11200,11200, 60 months,8.99,232.44,B,QA Tech,10+ years,MORTGAGE,40000,Source Verified,42644,debt_consolidation,NY,19.85,0,38231,0,15,0,34281,56.3,31,0,39366.34876;
929509,12000,12000,12000, 60 months,9.49,251.97,B, Systems Engineeri,8 years,MORTGAGE,185000,Source Verified,42644,debt_consolidation,FL,18.98,0,37834,1,11,0,22712,78.3,22,0,21759.48987;
929510,12000,12000,12000, 60 months,14.49,282.28,C,security,2 years,MORTGAGE,24000,Source Verified,42644,debt_consolidation,NJ,16.19,1,36678,0,5,0,12178,50.1,16,0,15202.01879;
929511,10000,10000,10000, 36 months,10.49,324.98,B,,n/a,OWN,58880,Not Verified,42644,debt_consolidation,FL,34.8,0,34029,0,8,0,20636,61.4,13,0,22010.22817;
929512,32000,32000,32000, 60 months,15.59,771.23,C,Staff Software Engineer,6 years,MORTGAGE,106500,Not Verified,42644,debt_consolidation,NJ,32.87,0,34151,0,20,1,27397,75.1,36,0,11990.00557;
929513,24000,24000,24000, 60 months,9.49,503.93,B,Specialist Call Center Operations,9 years,MORTGAGE,78000,Not Verified,42644,debt_consolidation,CT,25.09,15,39356,0,19,0,4221,62.1,23,0,5977.134954;
929514,18000,18000,18000, 60 months,10.99,391.28,B,Paralegal ,< 1 year,RENT,75000,Source Verified,42644,other,IL,15.61,0,32540,1,10,1,5899,35.3,32,0,10071.33;
929515,13000,13000,13000, 36 months,12.79,436.71,C,,n/a,MORTGAGE,60000,Not Verified,42644,debt_consolidation,CA,6.36,0,31959,0,6,0,5686,14,14,0,5177.77;
929516,16000,16000,16000, 60 months,13.99,372.21,C,Lead Maintenance,4 years,OWN,80000,Not Verified,42644,debt_consolidation,PA,10.67,0,38534,1,10,0,7771,19.1,22,0,17963.66274;
929517,30000,30000,30000, 60 months,17.99,761.64,D,Special Agent,10+ years,RENT,130000,Source Verified,42644,credit_card,PA,11.85,1,37165,1,8,0,20163,57.4,22,0,23796.92206;
929518,35000,35000,35000, 60 months,19.99,927.1,D,Physician,9 years,OWN,235000,Verified,42644,debt_consolidation,WA,26.63,0,34759,1,14,1,9709,55.2,30,0,6783.860602;
929519,10000,10000,10000, 60 months,12.79,226.46,C,Assistant Escrow Officer,10+ years,MORTGAGE,50000,Not Verified,42644,debt_consolidation,CO,11.22,0,38322,0,9,0,14150,90.7,27,0,13512.53406;
929520,20000,20000,20000, 36 months,12.79,671.86,C,Truck Driver,10+ years,RENT,75000,Source Verified,42644,credit_card,NC,14.17,0,38869,0,8,0,98209,43.5,12,0,17658.7025;
929521,14000,14000,14000, 60 months,8.99,290.55,B,PRINCIPAL FIELD ENGINEER,2 years,MORTGAGE,90000,Source Verified,42644,home_improvement,MI,24.83,0,32752,1,14,1,18333,58.6,35,0,11223.88685;
929522,22400,22400,22400, 60 months,15.59,539.86,C,Train Operator,10+ years,RENT,80000,Not Verified,42644,credit_card,CT,10.44,0,38443,1,9,1,5054,42.1,11,0,5785.26756;
929523,35000,35000,35000, 60 months,14.49,823.31,C,Supervisor IT Department,10+ years,RENT,92000,Verified,42644,credit_card,PA,32.11,0,36678,1,21,0,38733,81.7,35,0,28687.68311;
929524,7000,7000,7000, 36 months,16.99,249.54,D,Service technician,< 1 year,RENT,68000,Verified,42644,debt_consolidation,CA,31.08,0,35827,0,16,0,13271,41,25,0,23537.93446;
929525,35000,35000,35000, 60 months,12.79,792.61,C,General manager,10+ years,OWN,130000,Source Verified,42644,debt_consolidation,FL,22.36,0,33329,3,10,0,8204,53,27,0,15578.62586;
929526,39000,39000,39000, 60 months,10.99,847.77,B,Account Executive,6 years,MORTGAGE,128000,Not Verified,42644,credit_card,CA,8.85,0,37316,0,5,0,21963,59,7,0,23278.9437;
929527,5100,5100,5100, 36 months,24.49,201.41,E,,n/a,RENT,17000,Verified,42644,credit_card,VA,14.67,3,31959,0,10,0,34389,88.4,21,0,15808.52;
929528,24000,24000,24000, 60 months,13.49,552.12,C,Sr Manager ,5 years,OWN,76000,Not Verified,42644,credit_card,TX,12.74,0,35156,0,12,0,58556,53.1,18,0,30765.31043;
929529,19200,19200,19200, 60 months,17.99,487.45,D,food service manager,10+ years,RENT,55000,Not Verified,42644,debt_consolidation,FL,29.37,1,30651,0,18,0,10554,43.6,39,0,11350.87351;
929530,12000,12000,12000, 60 months,15.59,289.21,C,Senior Director,3 years,RENT,96000,Not Verified,42644,debt_consolidation,NY,20.78,0,39142,0,34,0,6574,15,42,0,7247.770001;
929531,21000,21000,21000, 60 months,15.59,506.12,C,Owner,1 year,OWN,100000,Source Verified,42644,debt_consolidation,CA,9.84,0,34759,0,8,1,3441,53.8,36,0,6605.13;
929532,35000,35000,35000, 60 months,10.99,760.82,B,CIO,3 years,RENT,330000,Source Verified,42644,credit_card,WI,18.04,0,34669,2,9,1,2877,65.4,27,0,11996.70494;
929533,16000,16000,16000, 60 months,8.99,332.06,B,Systems Engineer,3 years,MORTGAGE,79000,Not Verified,42644,credit_card,NY,21.04,0,40026,2,18,0,15155,58.3,20,0,17441.25291;
929534,35000,35000,35000, 60 months,14.49,823.31,C,Content Author,8 years,MORTGAGE,218000,Source Verified,42644,debt_consolidation,OR,6.42,0,38169,2,7,1,2119,30,18,0,5177.000001;
929535,12600,12600,12600, 60 months,14.49,296.4,C,CFO,3 years,RENT,235000,Verified,42644,credit_card,NC,6.19,1,32843,1,37,0,97922,36.1,57,0,38430.218;
929536,9000,9000,9000, 36 months,6.99,277.86,A,Owner,10+ years,RENT,67000,Source Verified,42644,credit_card,CA,9.31,1,34335,0,7,1,1735,23.8,26,0,6353.372506;
929537,15500,15500,15500, 60 months,13.49,356.58,C,Lead Equipment Maintenance Technician,3 years,RENT,83000,Source Verified,42644,debt_consolidation,NC,23.89,0,33512,0,11,1,4948,44.6,36,0,7914.769765;
929538,40000,40000,40000, 60 months,10.49,859.56,B,Delivery driver,7 years,MORTGAGE,110000,Verified,42644,debt_consolidation,FL,25.38,0,37135,0,17,0,12803,16.2,25,0,11463.66365;
929539,30000,30000,30000, 60 months,13.49,690.15,C,Maintenance Business Manager,2 years,RENT,120000,Source Verified,42644,home_improvement,WA,19.57,0,34090,0,17,0,49124,59.9,40,0,34781.93734;
929540,15000,15000,15000, 60 months,13.49,345.08,C,Adjunct Faculty,3 years,RENT,90000,Source Verified,42644,debt_consolidation,CA,14.17,0,39295,2,9,0,17886,51,11,0,16756.56811;
929541,27000,27000,27000, 60 months,14.49,635.13,C,Manager,2 years,MORTGAGE,105000,Source Verified,42644,debt_consolidation,NJ,23.96,0,34547,1,14,0,22267,48.7,29,0,42083.08684;
"929542,35000,35000,35000, 60 months,15.59,843.53,C,""Vice President, MF Agency Underwriter"",10+ years,MORTGAGE,163500,Verified,42644,credit_card,IN,20.89,0,27273,3,12,1,2828,38,16,0,4182.021686";
929543,13200,13200,13200, 36 months,15.59,461.41,C,Park Manager,2 years,OWN,55000,Verified,42644,credit_card,NY,5.07,1,38412,0,4,0,4376,59.8,15,0,5737.230611;
929544,30000,30000,30000, 60 months,14.49,705.7,C,Creative Director,2 years,RENT,125000,Verified,42644,debt_consolidation,TN,19.88,0,30286,0,18,0,9545,27.7,48,0,28491.76;
929545,25000,25000,25000, 60 months,15.59,602.52,C,Administrative Assistant,4 years,RENT,60000,Source Verified,42644,debt_consolidation,AZ,10.58,0,38200,1,9,1,8554,41.9,21,0,11714.4087;
929546,16000,16000,16000, 60 months,10.99,347.8,B,Director of Loan Orgination,6 years,RENT,135000,Not Verified,42644,debt_consolidation,CA,23.93,0,37196,1,10,0,8829,49.6,26,0,20359.25398;
929547,24000,24000,24000, 60 months,15.59,578.42,C,Financial Advisor,10+ years,RENT,115000,Source Verified,42644,debt_consolidation,CA,3.83,0,35125,0,5,0,10912,27.3,13,0,13561.76;
929548,12800,12800,12800, 60 months,9.49,268.77,B,Sr. Tax Law Specialist - EP,6 years,MORTGAGE,101303,Not Verified,42644,major_purchase,NJ,7.01,1,37226,0,5,0,15191,44.5,13,0,23135.29632;
929549,30000,30000,30000, 60 months,13.99,697.9,C,Programmer/IT,6 years,MORTGAGE,63500,Verified,42644,credit_card,AL,14.31,0,36647,0,13,0,35881,47.9,28,0,27690.47659;
929550,35000,35000,35000, 60 months,15.59,843.53,C,Sr. Director,10+ years,MORTGAGE,180000,Verified,42644,credit_card,CA,20.95,0,37561,0,17,0,38453,62.5,27,0,15099.20023;
